company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
1001 Green Products GmbH,Halle 25/25G19,,vertrieb@1001greenproducts.com,10.-13.11.2026,https://1001greenproducts.com,"Zum Fliegerhorst 5, Großenhain, 01558, Germany",Großenhain,
2G Energy AG,Halle 24/24B11,,info@2-g.de,+49 2568 93470,https://2-g.com,"Benzstr. 3, Heek, 48619, Germany",Heek,
3N Niedersachsen Netzwerk Nachwachsende Rohstoffe und Bioökonomie e.V.,Halle 25/25L21,,info@3-n.info,,https://expolista.com,"Kompaniestr. 1, Werlte, 49757, Germany",Werlte,
3tres3,,,plopez@333corporate.com,2028-2034,https://3tres3.com,"Media partner Premium EuroTier, Spain",,
4-D AG Fashion,Halle 11/11D11,,elizabeth@4dagfashion.com,+1 806 656-1646,https://threads.com,"16650 Robin Rd., Canyon, TX, 79015, United States of America","Canyon, TX",
A-SYSTEMS,Halle 19/20/20A04,,cdelongvilliers@a-systems.com,,https://pure.qub.ac.uk,"143 bis rue Yves le Coz, Versailles, 78000, France",Versailles,
A. CONRADS Ing.-Büro & Holzbaubetrieb e.K.,Halle 14/15/15K16,,info@aconrads.de,+49 2402 9894-0,https://expofinder.com,"Industriestr. 14-38, Stolberg, 52224, Germany",Stolberg,
A.B.S. Silo- und Förderanlagen GmbH,Halle 12/12D20,"<h1 class=""MuiTypography-root MuiTypography-h2 text-editor-left"">Tailor-made silo and conveying solutions for agriculture</h1> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left""><strong>Flexible storage solutions, hygienic feed storage and efficient workflows – individually designed for your farm.</strong></p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">Since 1984, <strong>A.B.S. Silo- und Förderanlagen GmbH</strong>, based in Osterburken, Germany, has been developing and manufacturing flexible fabric silos and matching conveying solutions for agricultural businesses. Whether <strong>feed silos</strong>, <strong>grain silos</strong> or <strong>mineral silos</strong>: Every solution is tailored to the bulk material, the available space and the processes on your farm.</p> <h2 class=""MuiTypography-root MuiTypography-h4 text-editor-left"">Hygienic storage with high-tech fabric</h2> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">For feed and grain silos, A.B.S. uses <strong>high-strength, breathable high-tech fabric</strong>. This prevents condensation even when temperatures fluctuate – ensuring hygienic storage and consistently high feed quality.</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">Coated fabric variants reliably keep moisture-sensitive minerals dry. <strong>Weather-protected outdoor silos</strong> and food-grade versions are also available on request.</p> <h2 class=""MuiTypography-root MuiTypography-h4 text-editor-left"">Individually designed – everything from a single source</h2> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">Custom dimensions, flexible filling and discharge options, and integration with standard feeding, dosing and processing equipment enable <strong>optimal use of space and efficient workflows</strong>.</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">A.B.S. supports you <strong>from initial planning through to implementation</strong>. Around 100,000 Flex-Silos installed worldwide and a minimum sevenfold safety factor for seams and fabric demonstrate decades of experience and tested quality.</p> <h2 class=""MuiTypography-root MuiTypography-h4 text-editor-left"">Meet us at EuroTier</h2> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">Visit A.B.S. at EuroTier and talk to us about the right storage and conveying solution for your farm.</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left""><strong>Discover agricultural silos and matching accessories in the A.B.S. online shop</strong></p>",info@abs-silos.de,+49 6291 6422-0,https://abs-silos.de,"Industriepark 100, Osterburken, 74706, Germany",Osterburken,
AAG / Aalborg Gummivarefabrik A/S,Halle 14/15/15J18,,info@aag-gummi.dk,+45 98 158022,https://agromek.com,"Sundsholmen 3, Nørresundby, 9400, Denmark",Nørresundby,
Ab E Discovery DBA Optum Immunity,Halle 21/21K24,,enrique@optumimmunity.com,,,"700 Commercial Ave., Waterloo, WI 53594, United States of America",Waterloo,
AB Energy Deutschland GmbH,Halle 25/25B17,,info@gruppoab.com,+390309942Ï411,https://gruppoab.com,"Oberaustr. 16, Rosenheim, 83026, Germany",Rosenheim,
AB Kauno Grūdai,Halle 21/21K05,,i.kiskyte@kaunogrudai.lt,+370 640 24548,https://kaunogrudai.lt,"H. ir O. Minkovskiu g. 63, Kaunas, 46550, Lithuania",Kaunas,
AB Neo - a division of AB Agri,Halle 14/15/15C02,,info@ab-neo.com,+44 1733 422161,https://3tres3.com,"64 Innovation Way, Peterborough Business Park, Lynch Wood, Peterborough, PE2 6FL, United Kingdom","Lynch Wood, Peterborough",
AB Vista Iberia SL,Halle 21/21E04,,Barbara.Gil@abvista.com,05425-902,https://abvista.com,"Calle Perú 6, Edificio Twin Golf A, Nº6, Oficina 4, Las Rozas de Madrid, 28290, Spain",Las Rozas de Madrid,
ABATO Motoren B.V.,Halle 14/15/15B11,,info@abato.nl,+31 88 2228600,https://abato.nl,"Platinalaan 10, ‘s-hertogenbosch, 5234 GH, Netherlands",‘s-hertogenbosch,
Abbi-Aerotech B.V.,Halle 14/15/15J28,,info@abbi-aerotech.com,+31 184 711344,https://abbi-aerotech.com,"Smederij 23, Hardinxveld-giessendam, 3371 MC, Netherlands",Hardinxveld-giessendam,
ABCERT AG,Halle 13/13E26,,info@abcert.de,004922157776100,https://globalgap.org,"Martinstr. 42-44, Esslingen, 73728, Germany",Esslingen,
ABM Trade LLC,Halle 22/22C31,"<p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">ABM is a manufacturer of specialized products for animal health, disinfectants, compound feed and</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">premixes. The main aim of the company is to care for animal health. The company was founded in</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">2008. Since then, we have been working effectively in the field of animal feeding and care.</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">ABM production is more than 6,000 square meters of production area and storage facilities,</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">production capacity - more than 150,000 tons per year, the latest equipment of top European</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">companies, such as OTTEVANGER (the Netherlands) and PAGLIERANI (Italy), mobility and</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">coherence of all processes according to the philosophy of ""Lean Production"". ABM is GMP+ FSA and</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">Organic Standard certificated manufacturer and the product portfolio consists of more than 300</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">products.</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">The ABM company has its own laboratory called Nutrion - the laboratory of feed and feed raw</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">materials research, which is an official partner of one of the leading laboratories - Rock River</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">Laboratory (Wisconsin, the USA).</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">The availability of our own logistics capabilities ensures timely delivery of ABM products to our</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">partners and customers.</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">The company has managed to develop the highest level of trust among all partners and is looking</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">forward to cooperation.</p>",info@abm.com.ua,+380 67 6878292,https://youcontrol.com.ua,"Shevchenka 43A, Lokachy, 45500, Ukraine",Lokachy,
ABRISTHOR - Asthor Agricola S.A.,Halle 12/12A41,,info@abristhor.com,2025 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 19 20 21 22 23 24 25,https://agritechnica.com,"Poligono Industrial de Somonte, C/ Ma. G. La Pondala, 41, Gijón, 33393, Spain",Gijón,
"ACE LED LIGHT Co., Ltd.",Halle 25/25J35,,info@aceledlight.com,,https://aceled.en.alibaba.com,"No. 10, ZhengZhong Industrial Zone, Xintian, Fuhai, Baoan, Shenzhen, 518 103, People's Republic of China","Xintian, Fuhai, Baoan, Shenzhen",
ACO Funki A/S,Halle 14/15/15D14,"<p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">ACO FUNKI develops and manufactures complete pig housing solutions for pig producers worldwide. Whether you are building a new pig house, expanding an existing facility, or renovating individual sections, we offer solutions that combine animal welfare, productivity, and efficient daily management.</p> <p class=""text-editor-empty""></p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">Our product range covers every stage of production, including mating and gestation, farrowing, weaner, and finisher housing. We supply farrowing pens, gestation systems, dry feeding systems, liquid feeding systems, feeders, flooring, water supply systems, manure handling equipment, automation, and a wide range of components for pig housing. All solutions are designed to work together as one integrated system, making installation, operation, and future expansion easier.</p> <p class=""text-editor-empty""></p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">With more than 90 years of experience in pig farming, ACO FUNKI combines practical knowledge with continuous product development. We work closely with farmers, dealers, and advisors to develop solutions that meet the demands of modern pig production.</p>",marina.larsen@acofunki.dk,+45 97 119600,https://acofunki.com,"Kirkevænget 5, Gjellerup, Herning, 7400, Denmark",Herning,
ACTIFEED,Halle 21/21A13,,contact@actifeed.com,,https://volza.com,"13 Rue Clos de Matignon, Saint Malo, 35400, France",Saint Malo,
ACTIPRO - VEOS Group,Halle 21/21G47,"<p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">ACTIPRO, part of VEOS Group, is a globally recognized leader in functional proteins. As a <strong>manufacturer of blood products, egg powder, collagen and mycoproteins</strong>, ACTIPRO operates at the highest level of technical and market expertise. Our premium positioning comes from how we work: starting at the source, valorizing supplier by-products, developing advanced processes and applying multidisciplinary research.</p> <p class=""MuiTypography-root MuiTypography-body1 text-editor-left"">With <strong>more than 10</strong> <strong>production sites and exports to over 90 countries</strong>, ACTIPRO combines scale with specialization. Customers choose ACTIPRO because they want a partner whose expertise, reputation and track record signal quality, credibility and long-term vision.</p>",com@veos.be,,,"Akkerstraat 4A, Wingene, 8750, Belgium",Wingene,
ADDCON GmbH,Halle 21/21J18,,contact@addcon.com,,https://yumda.com,"Parsevalstr. 6, Bitterfeld-Wolfen, 06749, Germany",Bitterfeld-Wolfen,
Addeasy Group,Halle 19/20/20C12,,info@addeasycn.com,504613-2022,https://lakrua.by,"Binhai Distr., Binhai Economic Development Area, Weifang, Shandong, 261 000, People's Republic of China","Weifang, Shandong",
Addicoo Group s.r.o.,Halle 19/20/20A26,,office@addicoo.com,+420 737 268 612,https://addicoo.com,"Č.p. 136, Stosikovice na Louce, 671 61, Czech Republic",Stosikovice na Louce,
