company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
(RE)APPROVED,,"Immerse yourself in the realm of (RE)APPROVED, where the past seamlessly merges with the present, and delve into a world where history and design intertwine. find pieces that will bring character and elegance to your contemporary living spaces.",,,https://reapproved-by-vaa.com,"Kloosterstraat 23, 2000 Antwerpen, Belgium",Antwerpen,
1+1 Gallery,,"1+1 gallery specializes in collectible vintage Italian design and curated contemporary projects – online, exhibitions, editions, and advisory since 2017. The gallery operates mostly online, through site-specific exhibitions, fairs and private viewings in its showroom on appointment. It supplies private clients, architects, interior designer and auction houses. 1+1 was established in Milan, Italy, in 2017; and it has relocated to Koper, Slovenia, in 2022, on the shores of the North Adriatic sea.",,,https://1plus1.gallery,,,
2D Design Furniture,,Website: www.2ecosales.be,,,,,,
39 Design,,Instagram : @39design 39 Design - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
7th sense furniture,,Website: https://7th-sense-furniture.de/,,,https://7th-sense-furniture.de,,,
A1043,,Instagram: @A1043_ A1043 - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,https://shop.a1043.com,,,
ACANTHE,,ACANTHE SRL ART + DESIGN XX.XXI,,,https://acanthe.be,,,
ADSD,,,,,,,,
Aixo Design,,Mid-Century Interior Design (50s-80s).,,,,,,
Antikhandleren.dk,,Website: www.antikhandleren.dk Antikhandleren.dk - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,http://antikhandleren.dk,,,
ANTWERP STUDIO,,Website: antwerpstudio.com,,,https://antwerpstudio.com,,,
ARDULU,,Instagram: @Arduluk/a> ARDULU - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
Art déco & Design Maastricht,,"Both at our shop in Maastricht and at Brussels Design Market, we sell a wide variety of Art Deco and Design items, like : ceramics, glass, flat and metal ware, lamps, Bakelite and pieces of small furniture. Beautifully designed items that can be used in everyday life.",,,http://art-deco-en-design.nl,,,
Balma Antiques,,Instagram: @balma_antiquesk/a> Balma Antiques - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,https://balma-antiques.com,,,
Belle la chaise,,Website: https://bellelachaise.be,,,https://bellelachaise.be,,,
Bjarne Quévy,,,,,,,,
Blaise Antiquités,,Website: www.ha207.be,,,,,,
Cabinet.bxl,,Instagram: @cabinet.bxl Cabinet.bxl - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
Calm Shapes,,Website: www.calmshapes.com,,,https://calmshapes.com,,,
Casella Vincenzo,,,,,,,,
Certelli Giovanni,,,,,,,,
Chevreux – xxeme.com,,Web site : xxeme.com,,,,,,
Christina Caluwe,,Instagram: @krisjecaluwe Christina Caluwe - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
Corinne de Noray,,,,,,,,
CorrettoLù,,Website: https://correttolu.com,,,,,,
Dandame.dk,,"She loves, seeks out and sells vintage Danish and Scandinavian lamps, particularly mid-century ceramic and stoneware lamps in a purist, brutalist and eclectic style. She also has a fine selection of Danish ceramic tables and small pieces of furniture.",,,,,,
Dang-Ku by Koensteen,,"The taste for decorative design and precious materials is found in Koen Steen's selection. For instance, Italian design and the luxurious 1970s style of Maison Jansen lamps blend, at the Belgian merchant's, with the industrial lines of Belgian and Dutch design (Willy van der Meeren, Wim Rietveld, Artifort, etc.).",,,,,,
Daspasvintage,,Website: https://daspasvintage.be,,,https://daspasvintage.be,,,
De Vitrine Gent,,Website: https://devitrine.gent,,,https://devitrine.gent,,,
Dennis De Cleer,,Vintage Design.,,,http://cleer.be,,,
Depot 09,,Website: depot09.be,,,https://depot09.be,,,
Design + Art,,,,,,,,
Donna Design,,Instagram: @donnadesignamsk/a> Donna Design - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
DV French Antiques,,"Decorative arts and wabisabi inspiration. Antique dealer, based at Roubaix, north of France B to B, worldwilde.",,,https://dvfrenchantiques.com,,,
EEF’s Vintage Furniture,,Website: eefsvintagefurniture.nl,,,https://eefsvintagefurniture.nl,,,
Envan Rijn,,Instagram: @envanrijn Envan Rijn - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
Essence Boisée,,Instagram: @essence.boiseek/a> Essence Boisée - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,https://essence.com,,,
Fifty Fifty,,Instagram: @fiftyfifty______ Fifty Fifty - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
Flex-nbg,,Instagram: @flex.nbgk/a> Flex-nbg - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,https://flex-nbg.de,,,
Fonzart Gallery,,Instagram: @fonzartGalleryk/a> Fonzart Gallery - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
FORMA FORMA,,Website : www.formaformaonline.com,,,https://formaformaonline.com,,,
François Mitevoy & Jean-Christophe,,,,,,,,
Funky Interior,,Making yesterday's designs tomorrow's treasures.,,,https://funkyinterior.be,,,
Fynd Vintage,,Website: www/fyndvintage.com,,,https://fyndvintage.com,,,
Galerie Bikini,,Website: www.galeriebikini.com,,,https://galeriebikini.com,,,
Galerie Gagarin,,Website: www.gagarin2000.de,,,https://gagarin2000.de,,,
Galerie Marel,,Instagram: @Galerie-Marelk/a> Galerie Marel - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,https://galerie-marel.com,,,
Galerie Nowel,,"A clever mix of art, lamps and mid-century furniture.",,,https://galerienowel.de,,,
Genbrugbare,,"If you like the creations of Hans J. Wegner, Børge Mogensen, Poul Kjærholm, Poul Henningsen, etc. you've come to the right place. These are vintage dealers from Denmark. They buy and sell mainly Danish vintage, design furniture and lamps from the 1960s onwards.",,,https://genbrugbare.com,,,
Gomez Sullyvan,,Mobilier luminaire & décoration Design du XXe siècle,,,https://gomezandsullivan.com,,,
Graublau Vintage,,Website : www.graublau.nl,,,https://graublau.nl,,,
Haute Hygge,,Instagram: @nordlys_retro_ Haute Hygge - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,https://hyggesupply.com,,,
HED Paris,,Interior design.,,,http://hedparis.com,,,
Huis van Geluk,,Website: https://huisvangeluk.nl,,,https://huisvangeluk.nl,,,
I wear vintage,,"I wear vintage presents you a collection of luxury & quality vintage eyewear from the early 20th century to the 90s. All the pieces are New Old Stock, so never been worn and original.",,,https://i-wearvintage.be,,,
Interior Aksel Selected Design Classic,,Website: aksel.com,,,http://interior-aksel.com,,,
J2 Collectibles,,,,,,,,
Jacob’s Mid-Century Modern,,"Jacob Bouw buys/sells especially not signed/numbered original lithographs (drawn on the stone by the artists themself), from the Mid-century period.",,+32475746988,,"Bredabaan 224, Brasschaat, Belgium",,
Jean & Christophe,,Website : www.art-mobilier.com Jean & Christophe - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
John Henry Gallery,,,,,https://henryart.org,,,
Kemnitz,,Website : www.kemnitz.dk,,,https://kemnitz.dk,,,
KOOLOO MODERN,,Instagram: @KOOLOOMODERNk/a> KOOLOO MODERN - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,https://kooloomodern.com,,,
Kristof De Sy,,Design - Art - Collectables from 20e century,,,https://kristofdesy.be,,,
La Ramon,,Website: www.la-ramon.com,,,https://la-ramon.com,,,
Lamps by Jacqueline,,"Handcrafted, unique table lamps.",,,https://lampsbyjacqueline.com,,,
LC Les Campanules,,Website: www.lescampanules.be,,,https://lescampanules.be,,,
Le 194,,Website: https://le-194.fr,,,https://le-194.fr,,,
Les Passions de Tom,,Instagram: @les_passions_de_tom_ Les Passions de Tom - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
Lev Lifestyle,,Instagram: @Levlifestylek/a> Lev Lifestyle - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,https://levlifestyle.rooms-wizard.com,,,
Luce Antiquites,,Instagram: @luce_antiquites Luce Antiquites - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,https://almadeluce.com,,,
Lumière du Nord,,,,,,,,
Lund Design,,Website: www.lunddesign.de,,,https://lund.design,,,
Maison Moderniste,,Website: maisonmoderniste.com,,,https://maisonmoderniste.com,,,
Maison Ozel,,"In Japanese, Boketto refers to the art of contemplating things, absentmindedly, from a distance. It is this temptation to take a sideways glance in a highly codified world of design that guided Romane and Michal to open their very first gallery in 2021. Boketto offers a vibrant mix of 20th-century furniture, signed by renowned names (French, Italian...) or completely anonymous. It is the love at first sight that shapes their constantly renewed and restored selection, thanks to the expertise of various skilled craftsmen (cabinetmakers, upholsterers, painters, electricians...).",,,https://maison-objet.com,,,
Malata antwerp,,"Secondhand lifestyle; vintage finds, design houseware and everything pretty.",,,https://malataantwerp.com,,,
Midbottcentury,,Find the light of your life at midbottcentury,,,,,,
Miel Audenaert,,Instagram: @mielaudenaert Miel Audenaert - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
Mister Parker,,20th century avant garde design pieces.,,,https://misterparker.eu,,,
Mobilier Design 20,,20th century decorative arts and Historical French design.,,,,,,
Mobilier Particulier,,Website: www.mobilier-particulier.fr Mobilier Particulier - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,https://mobilier-particulier.fr,,,
Modern Antiques,,Online vintage design gallery.,,,https://modern-antiques.be,,,
Modern Living,,Modern Living is an (online) gallery offering a personal selection of high quality 20th century design originals with a focus on Scandinavian design and collectables.,,,https://modern-living.be,,,
Molaki,,,,,,,,
Nomos by Victor Kusters,,Instagram: @nomosobjects Nomos by Victor Kusters - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,,,,
NOOS,,"Never out of style offers a timeless & unique range of preloved bags, clothing & accessories. With a boutique in the centre of Ghent and a stand at the Sablon (Brussels) during the weekend, the mother-daughter duo have a shared passion on providing authentic items, that really ‘never go out of style'.",,,https://noos.be,,,
"Objekt Vintage, Sit on Vintage",,Online gallery for vintage design furniture based in Asperen,,,https://objekt-vintage.nl,,,
Otomana Design,,Instagram: @Otomana Design Otomana Design - Brussels Design Market Copyright © 2026 by ThemeREX. All rights reserved. UK UK FR NL,,,https://otomanadesign.it,,,
Paerels & Roest,,Website: paerelsenroest.nl,,,https://paerelsenroest.nl,,,
Patina Berlin,,Website: www.patinaberlin.de,,,https://patinaberlin.de,,,
