company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
(株)TOWING,32-5,,,,https://towing.co.jp/,,,
(株)TOWING,,,,,,,,
(株)トクイテン,32-5,,info@tokuiten.jp,050-3697-7204,,,,
(株)トクイテン,,,,,,,,
(株)トクイテン,,,,,,,,
(株)トクイテン,,,,,,,,
(株)プランテックス,32-5,,info@plantx.co.jp,03-5579-4123,,,,
(株)プランテックス,,,,,,,,
(株)プランテックス,,,,,,,,
(株)マプリィ,32-5,,,,,,,
(株)豊橋バイオマスソリューションズ,32-5,,info@toyohashibs.com,050-3612-7796,,,,
(株)豊橋バイオマスソリューションズ,,,,,,,,
(株)豊橋バイオマスソリューションズ,,,,,,,,
(株)豊橋バイオマスソリューションズ,,,,,,,,
(株)豊橋バイオマスソリューションズ,,,,,,,,
A&T Concepts LTD.,8-10,,tiger@atconcepts.net,,https://www.atconcepts.net,,,
A&T Concepts LTD.,,,,,,,,
A&T Concepts LTD.,,,,,,,,
"A-MAX Co., Ltd.",29-53,,amax@hanmail.net,+82-43-882-5990,,,,
"ADBIOTECH Co., Ltd.",23-31,,hjkwon1@adbiotech.co.kr,+82 70-8855-8846,http://www.adbiotech.com/eng/Index,,,
"ADBIOTECH Co., Ltd.",,,,,,,,
"ADBIOTECH Co., Ltd.",,,,,,,,
"ADBIOTECH Co., Ltd.",,,,,,,,
"ADBIOTECH Co., Ltd.",,,,,,,,
"ADBIOTECH Co., Ltd.",,,,,,,,
"ADBIOTECH Co., Ltd.",,,,,,,,
"ADBIOTECH Co., Ltd.",,,,,,,,
"ADBIOTECH Co., Ltd.",,,,,,,,
"ADBIOTECH Co., Ltd.",,,,,,,,
"ADBIOTECH Co., Ltd.",,,,,,,,
"ADBIOTECH Co., Ltd.",,,,,,,,
"ADBIOTECH Co., Ltd.",,,,,,,,
AEROSOL 【大きな損失に、小さな投資で備える。】,24-39.,,info@aerosol-japan.jp,,https://aerosol-japan.jp/,,,
AEROSOL 【大きな損失に、小さな投資で備える。】,,,,,,,,
"Agri (Qingdao) Import&Export Co.,Ltd",6-12,,guan@agriqd.com,+8613853942998,,,,
"Agri (Qingdao) Import&Export Co.,Ltd",,,,,,,,
"Agri (Qingdao) Import&Export Co.,Ltd",,,,,,,,
"Agri (Qingdao) Import&Export Co.,Ltd",,,,,,,,
"Agri (Qingdao) Import&Export Co.,Ltd",,,,,,,,
"Agri (Qingdao) Import&Export Co.,Ltd",,,,,,,,
"Agri (Qingdao) Import&Export Co.,Ltd",,,,,,,,
"Agri (Qingdao) Import&Export Co.,Ltd",,,,,,,,
"Agri (Qingdao) Import&Export Co.,Ltd",,,,,,,,
"Agri (Qingdao) Import&Export Co.,Ltd",,,,,,,,
AGRICULTURAL RESEARCH INSTITUTE,"17-5, 18-8, 17-7, 18-10, 17-9, 18-12, 17-11, 18-14, 17-13",,rita@mail.atri.org.tw,+886-3-5185139,,,,
AGRICULTURAL RESEARCH INSTITUTE,,,,,,,,
Agro Ludens(株),32-5,,info@agroludens.com,03-5832-9453,https://www.agroludens.com/,,,
Agro Ludens(株),,,,,,,,
AI Nutritionによる未来型食品の開発,27-52,,atkshin@g.ecc.u-tokyo.ac.jp,03-6450-2188,,,,
AITOYA株式会社,30-35,,info@aitoya.com,,https://www.aitoya.com/,,,
AITOYA株式会社,,,,,,,,
"ALKO METAL CO.,LTD.",19-43,,alko2121@naver.com,+82-54-977-6367,,,,
All Leader International Co.,17-23,,info@all-leader.com,88677905553,https://www.all-leader.com/jp/home,,,
All Leader International Co.,,,,,,,,
"ALLIANCE INTERNATIONAL MEDICAL CO., LTD.",17-9,,miller.brenda@gmail.com,+886.2.86781007,,,,
AMBER HORTICULTURAL TECHNOLOGY LTD.,17-13,,,,,,,
AMBRO-SOL SPRAY,8-51,,info@ambro-sol.com,+39 030 9959674,https://ambro-sol.it/,,,
AMBRO-SOL SPRAY,,,,,,,,
AMBRO-SOL SPRAY,,,,,,,,
ANAERGIA JAPAN 株式会社,24-10,,ishizaka.koichi@anaergia.com,07094556422,https://www.anaergia.com/ja/,,,
ANAERGIA JAPAN 株式会社,,,,,,,,
"Anhui Sentai WPC Group Share Co., Ltd",3-38,,,,,,,
ANIMAL PROTECH アニマルプロテック,18-69,,support@animalprotech.jp,0357191970,https://animalprotech.jp/,,,
ANIMAL PROTECH アニマルプロテック,,,,,,,,
ANIMAL PROTECH アニマルプロテック,,,,,,,,
ANJI COUNTY JIEAN BAMBOO AND WOOD HANDCRAFTS MANUFACTORY,6-10.,,15757277622@163.com,15757277622,,,,
"ANPING COUNTY HUAXING WIRE MESH CO., LTD.",15-6.,,johnson.zhang@wirecloth.com.cn,+86-318-7524018,,,,
"ANPING COUNTY JINJUE HARDWARE WIRE MESH CO.,LTD",9-14,,admin@jinjuewiremesh.com,86158 3180 6566,,,,
"ANPING COUNTY JINJUE HARDWARE WIRE MESH CO.,LTD",,,,,,,,
"ANPING COUNTY JINJUE HARDWARE WIRE MESH CO.,LTD",,,,,,,,
"Anti-Microbial Savior BioteQ Co., Ltd.",18-31,,joelchen@amsbioteq.com,+886-7-223-7578,https://www.ams-bioteq.com/jp,,,
"Anti-Microbial Savior BioteQ Co., Ltd.",,,,,,,,
"APOCHIA Co., Ltd.",30-10,,info@apochia.com,03-5834-4845,http://www.apochia.com,,,
"AQUALEAN MANUFACTURING ASSOCIATES CO., LTD.",18-22,,amy@aqualean.com.tw,+886-2-25519626,http://www.aqualean.com.tw/jp/,,,
"AQUALEAN MANUFACTURING ASSOCIATES CO., LTD.",,,,,,,,
"AQUALEAN MANUFACTURING ASSOCIATES CO., LTD.",,,,,,,,
"AQUALEAN MANUFACTURING ASSOCIATES CO., LTD.",,,,,,,,
"AQUALEAN MANUFACTURING ASSOCIATES CO., LTD.",,,,,,,,
"AQUALEAN MANUFACTURING ASSOCIATES CO., LTD.",,,,,,,,
"AQUALEAN MANUFACTURING ASSOCIATES CO., LTD.",,,,,,,,
Aquponi Inc.,24-54,,info@aquponi.com,0466-21-7191,,,,
