company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
3SI Makler,AH12,"Home Aussteller 3SI Makler 3SI Makler Wir haben, was Sie suchen: Entdecken Sie das attraktive Immobilienangebot von 3SI Makler! Website besuchen E-Mail schreiben Anrufen Wir haben, was Sie suchen: Entdecken Sie das attraktive Immobilienangebot von 3SI Makler! Ob einzigartiger Altbau oder moderner Neubau: Finden Sie mit uns Ihre Traumimmobilie. Vom attraktiven Mietobjekt über einzigartige Eigentumswohnungen in ausgezeichneten Lagen bis hin zur perfekten Vorsorge- & Anlegerwohnung. Unsere engagierten ImmobilienvermittlerInnen gehen auf Ihre individuellen Wünsche ein und helfen Ihnen dabei, die ideale Wohnung für Sie zu finden. Anfrage senden",makler@3si.at,+43 1 607 58 58 58,https://3si.at,"Vienna, Austria",Vienna,
bauwerk & Partner Immobilien,,,,,https://ots.at,"Vienna, Austria",Vienna,
BOE Baumanagement Gesellschaft m.b.H.,AH28,"Home Aussteller BOE Baumanagement Gesellschaft m.b.H. BOE Baumanagement Gesellschaft m.b.H. Website besuchen E-Mail schreiben Anrufen BOE steht seit über 50 Jahren für Qualität und Zuverlässigkeit in der Immobilienwirtschaft. Wir sind Immobilienentwickler, Projektmanager und Bauträger. Seit das Unternehmen 1968 ins Leben gerufen wurde, betreut und realisiert BOE bis heute viele bemerkenswerte Projekte – von innovativen Wohnhausanlagen über komplexe Multifunktionsbauten. Höchste Nachhaltigkeitsstandards für eine lebenswerte Zukunft und das Bekenntnis zum Klimaschutz stehen im Zentrum unseres Wirtschaftens. Anfrage senden",boe.innsbruck@boe.at,+43 1 71180,https://boe.at,"Vienna, Austria",Vienna,
BUWOG,AH18,"Home Aussteller BUWOG BUWOG Miet- und Eigentumswohnungen provisionsfrei direkt vom Bauträger! Website besuchen E-Mail schreiben Anrufen Die BUWOG ist der führende Komplettanbieter am österreichischen Wohnimmobilienmarkt und blickt auf über 70 Jahre Erfahrung zurück. Das Immobilienbestandsportfolio umfasst knapp 55.000 Bestandseinheiten und befindet sich in Österreich, die Development-Pipeline hierzulande umfasst etwa 6.680 Einheiten. Neben dem Asset Management der eigenen Bestandsimmobilien wird mit den Geschäftsbereichen Property Sales und Property Development die gesamte Wertschöpfungskette des Wohnungssektors abgedeckt. Die BUWOG ist eine Tochter der Vonovia SE, Europas führendem Wohnungsunternehmen mit Sitz in Bochum (Deutschland). Anfrage senden",kundenmanagement@buwog.com,+431878281000,https://buwog.at,"Vienna, Austria",Vienna,
BWSG,GH33,"Home Aussteller BWSG BWSG BWSG besser wohnen seit 1911. Website besuchen E-Mail schreiben Anrufen Die BWS-Gruppe entwickelt, errichtet, saniert, verwaltet, vermietet und verkauft geförderte sowie freifinanzierte Wohnungen, Geschäftsräume und Stellplätze in ganz Österreich. Unsere Projekte zeichnen sich durch einen hohen Qualitätsanspruch in Architektur, Ökologie und Ökonomie aus. Wir bringen klimafreundliches Bauen und Betreiben mit leistbarem Wohnen in Einklang. Vom Bodensee bis zum Neusiedler See zeugen professionell entwickelte und verwaltete Immobilien mit rund 38.000 Verwaltungseinheiten sowie zufriedene Mieter:innen und Eigentümer:innen von unserer jahrzehntelangen Erfahrung. Wir agieren österreichweit mit Hauptsitz in Wien und weiteren Standorten in St. Pölten, Graz, Salzburg und Innsbruck. Anfrage senden",,+43 1 54608-5070,https://bwsg.at,"Vienna, Austria",Vienna,
Börner – Ihr Hausmakler,EH05,Home Aussteller Börner – Ihr Hausmakler Börner – Ihr Hausmakler Beim Immobilienverkauf nimmt man den Börner Website besuchen E-Mail schreiben Anrufen Börner Ihr Hausmakler hat schon 2 mal den IMMY gewonnen und zählt laut Kurier 2023 und auch schon 2022 zu den Top 50 Immobilienmakler Österreichs. Auch weit über Hundert 5 Sterne Kundenbewertungen bestätigen die langjährige hervorragende Arbeit. Börner Ihr Hausmakler ist auch der einzige Makler der mit eigenem research auf über 100 U Bahnstationen genau die Marktpreise erhebt und für jeden Kunden dann um so genauer noch den optimalen Verkaufspreis ermittelt und hervoragend die Immobilie über das langjährigen Netzwerk und geniale Marketingstrategie mit viel Einfühlungsvermögen für die Kunden verkauft. Vertrauen auch Sie beim Immobilienverkauf auf den Börner. Anfrage senden,t@boerner.at,+436643300156,https://boerner.at,"Vienna, Austria",Vienna,
DEBA Bauträger GmbH,EH01,"Home Aussteller DEBA Bauträger GmbH DEBA Bauträger GmbH Erfolgreiche Immobilienpartnerschaft auf Augenhöhe. Website besuchen E-Mail schreiben Anrufen Wir sind ein Familienunternehmen mit über 50 Jahren Erfahrung und legen besonderen Wert auf eine seriöse und kundenorientierte Beratung. Mit großem persönlichen Einsatz ist unser Team bemüht, Ihre individuellen Wünsche im Verlauf eines Projektes bestmöglich umzusetzen. Wir entwickeln Eigentumswohnungen und Reihen- oder Doppelhäuser in ausgewählten Lagen. Uns zur Seite stehen langjährige Geschäftspartner, mit denen wir vertrauensvoll und gegenseitigem Respekt sehr gut zusammenarbeiten. Anfrage senden",office@deba.at,+4313682111,https://deba.at,"Vienna, Austria",Vienna,
DerStandard,SH40,"Home Aussteller DerStandard DerStandard Website besuchen Der Standard ist eine der führenden österreichischen Qualitätszeitungen mit starkem Fokus auf unabhängigen Journalismus, gesellschaftspolitische Themen und Wirtschaft. Als Aussteller und Partner auf der Erste Wohnmesse steht Der Standard für fundierte Information rund um Immobilien, Wohnen und Lifestyle – sowohl in Print als auch digital. Anfrage senden",,,https://derstandard.at,"Vienna, Austria",Vienna,
Die Presse,SH41,Home Aussteller Die Presse Die Presse Website besuchen Anfrage senden,chefredaktion@diepresse.com,015141470,https://diepresse.com,"Vienna, Austria",Vienna,
EHL Immobilien,AH26,"Home Aussteller EHL Immobilien EHL Immobilien Wir leben Immobilien. Website besuchen E-Mail schreiben Anrufen EHL Immobilien, gegründet 1991, ist einer der führenden Immobiliendienstleister Österreichs und auf Wohn-, Gewerbe- und Investmentimmobilien spezialisiert. Unser Dienstleistungsspektrum reicht von Immobilienvermittlung über Immobilienbewertung, Asset- und Portfolio Management bis hin zu Market Research und Investmentberatung. Die EHL-Immobilien Gruppe lebt ihre Unternehmenswerte. Täglich. Kompetent. Engagiert. Leidenschaftlich. In allen Dienstleistungsbereichen: Vermietung Verkauf Bewertung Investment Asset & Portfolio Management Market Research Wohnimmobilien Vorsorgewohnungen Büroimmobilien Einzelhandelsobjekte Logistikimmobilien Anlageobjekte Zinshäuser Betriebsliegenschaften Grundstücke Hotelimmobilien Anfrage senden",office@ehl.at,+43 1 5127690-450,https://ehl.at,"Vienna, Austria",Vienna,
