company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Abaxx Exchange,,,contact@abaxx.exchange,+1 647-490-1590,https://abaxx.exchange,"188 University Ave, Suite 503, Toronto, ON M5H 3Y1",,
Algo-Logic Systems,,,solutions@algo-logic.com,(408) 707-3740,https://algo-logic.com,"1995 El Camino Real, Santa Clara, CA, 95050",,
"B3 (Brasil, Bolsa, Balcão)",,,faleconosco@b3.com.br,+55 11 2565-4000,https://b3.com.br,"Praça Antonio Prado, 48, Centro Histórico, São Paulo, SP 01010-901",,
QuantHouse,,,contact@quanthouse.com,+44 20 7205 4300,https://quanthouse.com,"60 Monument Street, 5th Floor, London EC3R 8AJ",,
Barchart,,,solutions@barchart.com,+1 312-283-2420,https://barchart.com,"209 W Jackson Blvd, 2nd Floor, Chicago, IL 60606",,
Borsa Istanbul,,,iletisim@borsaistanbul.com,+90 212 298 21 00,https://borsaistanbul.com,"Resitpasa Mahallesi, Borsa Istanbul Caddesi No:4, Sariyer, Istanbul 34467",,
CQG / Broadridge,,,info@broadridge.com,18003530103,https://broadridge.com,"5 Dakota Drive, Suite 300, Lake Success, NY, 11042",,
BSE India (Bombay Stock Exchange),,,corp.comm@bseindia.com,+91 22 2272 1233,https://bseindia.com,"Phiroze Jeejeebhoy Towers, Dalal Street, Mumbai, Maharashtra 400001",,
BTG Pactual,,,customersupportUS@btgpactual.com,+1 212 652 7200,https://btgpactual.us,"601 Lexington Avenue, 57th Floor, New York, NY 10022",,
Cboe Global Markets,,,servicedesk@cboe.com,+1 312-786-5600,https://cboe.com,"433 W Van Buren St, Chicago, IL 60607",,
Clear Street,,,hello@clearstreet.io,(646) 845-0036,https://clearstreet.io,"4 World Trade Center, 150 Greenwich St, 45th Floor, New York, NY 10007",,
CME Group,,,info@cmegroup.com,+1 312-930-1000,https://cmegroup.com,"20 South Wacker Drive, Chicago, IL 60606",,
Copp Clark,,,info@coppclark.com,19052382882,https://coppclark.com,"27 Simcoe St, Toronto, ON M5J 1W9",,
Cumulus9,,,info@cumulus9.com,4.42072E+11,https://cumulus9.com,"33 St James's Square, London SW1Y 4JS",,
D4 Solutions,,,hello@d-4solutions.com,+1 312-226-0900,https://d-4solutions.com,"201 S Swift Rd, Addison, IL 60101",,
Devexperts,,,pport@devexperts.com,+44 (20) 3095 2920,https://devexperts.com,"5410 S University Dr, Suite 201, Davie, FL 33328",,
Eurex,,,eurextrading@eurex.com,+49 69 211 10,https://eurex.com,"Mergenthalerallee 61, 65760 Eschborn, Frankfurt",,
Exa Infrastructure,,,info@exainfra.net,+44 333 444 1018,https://exainfra.net,"40 Strand, 5th Floor, London WC2N 5RW",,
Exchange Data International,,,info@exchange-data.com,+44 207 324 0020,https://exchange-data.com,"Suite 1, 5 Rochester Mews, London NW1 9JB",,
FIA Markets Academy,,,memberservices@fia.org,20.7929.0081,https://fia.org,"2001 K Street NW, Suite 725, North Tower, Washington, DC 20006",,
FIS Global,,,getinfo@fisglobal.com,+1 888-323-3118,https://fisglobal.com,"347 Riverside Ave, Jacksonville, FL 32202",,
