company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
4B-FRANCE,D10,,,,,"114 Rue de Calonges, 47440 Casseneuil, France",Casseneuil,
AA BIOMASSE,H20,,,,https://aa-biomasse.com,"114 Rue de Calonges, 47440 Casseneuil, France",Casseneuil,
AAF INTERNATIONAL,E44,"AAF International: Over 100 Years Helping Industry Achieve Cleaner, Safer and More Efficient Air AAF International helps companies around the world create safer working environments, protect their manufacturing processes and reduce the environmental impact associated with dust and particulate emissions. As part of the Daikin Industries Group, we combine the expertise of a specialist filtration company with the strength and resources of a global organisation renowned for its technological and industrial capabilities. Our business focuses on the design, manufacture and supply of dust collection and filtration systems for industrial applications. We develop solutions capable of handling a wide range of dusts generated throughout manufacturing processes, tailoring each system to the specific requirements of the facility. Our objective goes beyond regulatory compliance. We aim to improve worker safety, optimise process performance and contribute to more efficient industrial operations. With an international presence, manufacturing and development centres located across different regions of the world, and an extensive service and support network, AAF International supports customers throughout the entire lifecycle of their filtration systems. From initial engineering and technology selection through to maintenance and spare parts supply, we work to ensure reliable and consistent long-term performance. Our experience spans a broad range of industries, including chemicals, food and beverage, pharmaceuticals, automotive, metal processing, recycling, minerals, wood and paper, among many others. This diversity has enabled us to develop a deep understanding of the real challenges faced by modern industrial processes, as well as the specific characteristics of different dust types and emissions. AAF International's portfolio includes cartridge and baghouse dust collectors, wet collectors, specialised filtration systems, and a comprehensive range of services and consumables. Every solution is designed to deliver high levels of performance, durability and energy efficiency, helping customers reduce operating costs and maximise plant availability. Innovation, safety and customer proximity are at the heart of the way we work. We believe that every industrial application is unique and that the best solutions come from a thorough understanding of the process, operational objectives and specific challenges of each customer. By combining technical expertise, engineering capability and a long-term perspective, we deliver solutions that create tangible value from day one.",,,,"114 Rue de Calonges, 47440 Casseneuil, France",Casseneuil,
ACETT,G46,"French manufacturer of industrial equipment since 1986. We design and manufacture custom solutions for the transfer, dosing, and routing of your bulk products (powders, granules, waste). Our Expertise: Rotary valves: Full range of high-performance solutions. Diverters & Valves: Ensuring reliability and tightness for your process flows. Lump breakers: Guaranteed flowability for your materials. Services: Maintenance, reconditioning, and spare parts for all brands. French excellence serving your industrial facilities.",,,https://acett.eu,"114 Rue de Calonges, 47440 Casseneuil, France",Casseneuil,
ACM,E48,,,,https://acm-vis-archimede.com,"114 Rue de Calonges, 47440 Casseneuil, France",Casseneuil,
AD PACK,A39,"Spécialiste depuis 1984 dans les équipements de conditionnement, AD PACK propose des machines et des lignes d’ensachage et d’emballage :  ensacheuses,  presse-ensacheuses à balles,  étuyeuses en boites carton, jusqu’aux équipements de fin de ligne :  encaisseuses,  robots de palettisation et palettiseurs,  banderoleuses et housseuses. Grace à son expérience, notre équipe apporte son savoir-faire et son expérience afin d’y répondre de façon efficace et adaptés. Nous analysons chaque projet en fonction des demandes et des contraintes du client afin de lui apporter une solution techniquement et économiquement la plus adaptée.. Les machines ont été sélectionnés sur leur technicité et leur capacité à répondre aux exigences de notre clientèle en apportant fiabilité, flexibilité et performance. Notre propre service technique assure à notre clientèle l’ensemble du service après-vente en collaboration avec nos constructeurs et apporte un support technique de proximité.",,,https://adpack.fr,"114 Rue de Calonges, 47440 Casseneuil, France",Casseneuil,
Adix Explosion Protection,D21,"At Adix Explosion Protection, we are a company specialized in the prevention and protection against explosions in industrial environments. With more than 20 years of experience, we offer innovative and customized solutions to meet the specific needs of each client, guaranteeing the safety of people and processes. Our commitment to safety, innovation and proximity drives us to continuously improve our products, ensuring effective solutions for sectors such as the chemical, food, pharmaceutical, wood industries, etc. We stand out for our engineering, consulting and training in ATEX environments, designing solutions that comply with the most demanding international regulations. From risk analysis to equipment maintenance, we provide a comprehensive service to minimize the risk of explosions and optimize operational efficiency.",,,https://adixatex.com,"114 Rue de Calonges, 47440 Casseneuil, France",Casseneuil,
ADVENTICE ASPIRATEURS INDUSTRIELS,E52,"Adventice manufactures high-vacuum solutions for industrial clients for over 20 years. We design both centralized vacuum systems for large-scale industries and mobile or stationary vacuum solutions for all types of waste, chips, dust, and oils. These solutions address worker health and safety challenges by capturing toxic dust directly at workstations and include a wide range of Atex-compliant systems for explosive dust. Official DISAB distributor in France. We also offer a high-performance and innovative range, designed to meet the needs of heavy industrial and construction environments : - Portable and mobile vacuum units - Vacuum trucks - Centralized vacuum systems",,,https://adventice.fr,"114 Rue de Calonges, 47440 Casseneuil, France",Casseneuil,
AERZEN RENTAL SOLUTIONS,C52,,,,https://aerzenrental.com,"114 Rue de Calonges, 47440 Casseneuil, France",Casseneuil,
AETIC,D22,"Chez Aetic, nous proposons une offre complète dédiée à l'optimisation des process de production au sein du secteur industries céréalières et pulvérulent.",,,https://aetic.eu,"114 Rue de Calonges, 47440 Casseneuil, France",Casseneuil,
AL INDUSTRIE,H20,,,,https://al-industrie.fr,"114 Rue de Calonges, 47440 Casseneuil, France",Casseneuil,
AMETIS,C9,,,,https://ametis.eu,"114 Rue de Calonges, 47440 Casseneuil, France",Casseneuil,
AMIXON,F37,Represented by AZO FRANCE,,,https://amixon.com,"114 Rue de Calonges, 47440 Casseneuil, France",Casseneuil,
