company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
-,11-219,Oil & Gas Equipment,,,,,,
"A&B TECHNOLOGY, LLP",11-240,Oil & Gas Equipment,,,,,,
"A-LIMS, LLP",8-313,Telecommunications & IT,,,,,,
"ADVANCE VALVES, LLP",8-355,,,,,,,
AEC KAZAKHSTAN,10-092,Specialized Industry Services,,,,,,
"AEROGAS, LLC",,Oil & Gas Equipment,,,,,,
"AGV, JSC",11-275,Oil & Gas Equipment,,,,,,
"AIRO TECH Co .,Ltd",,,,,,,,
AKGEN GROUP LLP,A-07,Electrical equipment and power supply,,,,,,
"ALASHANKOU XINBO OIL & GAS PIPELINE MANUFACTURING CO., LTD.",,,,,,,,
ALKHORAYEF PETROLEUM,11-231,Oilfield Services,,,,,,
ALMATY SURE INSTRUMENT LLP,,"Automation, Processing Equipment & Services",,,,,,
AP SENSING,10-115,"Pipelines - Construction, Technology, Maintenance & Repairs",,,,,,
APLISENS MIDDLE ASIA,8-341,"Valves, Controls & Instrumentation",,,,,,
APRODIT-VTD LLC,,"Pipelines - Construction, Technology, Maintenance & Repairs",,,,,,
ARCONMET,A-03,Oil & Gas Equipment,,,,,,
"ARCTIC GROUP INTERNATIONAL, LLP",11-249,"Engineering, Facilities, Construction",,,,,,
ARI-ARMATUREN,10-124,EQUIPMENT,,,,,,
ARIDA CONSULTING IT COMPANY,8-309,Telecommunications & IT,,,,,,
ARMTEL LLP,11-176,,,,,,,
"ARSKA TECH, LLC",,"Refineries, Petrochemical and Gas Plants",,,,,,
ARTECH,,,,,,,,
ARTVIK CENTRAL ASIA LLP,10-108,Oil & Gas Equipment,,,,,,
Asia Gas Pipeline LLP,,Oil & Gas Transportation,,,,,,
Asia-Invest LLC,,Electronic Equipment & Services,,,,,,
ASIAFILTER INC. LLP,10-151,OTHER,,,,,,
ASTANA CONSTRUCTION BUSINESS GROUP,10-184/2 / A-02,Renting and Leasing of Machinery and Equipment,,,,,,
ASTEC VALVES & FITTINGS PVT LTD,8-348,"Valves, Controls & Instrumentation",,,,,,
AUMA,,Electronic Equipment & Services,,,,,,
AUSTRIAN EMBASSY - COMMERCIAL SECTION,8-314,"Automation, Processing Equipment & Services",,,,,,
"AVC GROUP, LLP",11-256,"Engineering, Facilities, Construction",,,,,,
AZURITE LOGISTICS,9-050,Integrated Oil & Gas Services,,,,,,
BARTEC,10-110,"Automation, Processing Equipment & Services",,,,,,
"BASECHEM, LLP",11-182,"Refineries, Petrochemical and Gas Plants",,,,,,
"BATYSMUNAIGAZZHABDYKTARY, LLP",A-01,Oil & Gas Equipment,,,,,,
BAUER KOMPRESSOREN,10-134,"Refineries, Petrochemical and Gas Plants",,,,,,
"BD, LLC",11-210,NDT equipment,,,,,,
BEIERTON LLP,11-175,Electronic Equipment & Services,,,,,,
"BEIJING BSS ENERGY EQUIPMENT CO., LTD.",,,,,,,,
BEIJING GEO-VISTA TECHNOLOGY LTD.,,,,,,,,
"BEIJING MUCHEN FIREPROOF INSULATION SPECIAL MATERIALS CO., LTD",,Oilfield Services,,,,,,
"BEIJING SHOUXUAN TRADE CO., LTD.",11-251/5,,,,,,,
"BEIJING ZHH FLOW CONTROL SYSTEM CO., LTD",,"Valves, Controls & Instrumentation",,,,,,
BEIJING ZHUOYUE UNION MACHINERY DEVELOPMENT CO.LTD,9-028,,,,,,,
BEINEU-SHYMKENT GAS PIPELINE LLP,,Oil & Gas Transportation,,,,,,
BENNING,10-111,Electronic Equipment & Services,,,,,,
