company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Abra Pack,"A32 Logistics, Fulfilment & Services Founded in 2013, Abra Pack provides contract packing and packaging machinery for food and FMCG products","Founded in 2013, Abra Pack provides contract packing and packaging machinery for food and FMCG products. Based near PoznaÅ, Poland, its facility handlesâ¦",,,https://abrapack.com.pl,,,
Advanced Labelling Systems,"C32 Coding, Labelling & Print Advanced Labelling Systems","Advanced Labelling Systems (ALS) is a UK manufacturer, based in Thame, Oxfordshire, of industrial labelling machines and printed self-adhesive labels. Itâ¦",,,,,,
Air Sea Containers,"E34 Containers, Closures & Rigid Packaging Air Sea Containers, established in 1981 and headquartered in Birkenhead, Merseyside, manufactures and supplies UN-approved packaging for dangerous goods","Air Sea Containers, established in 1981 and headquartered in Birkenhead, Merseyside, manufactures and supplies UN-approved packaging for dangerous goodsâ¦",,,,,,
Alpha Omega Pack,"F20 Plastic, Flexible & Film Packaging Alpha Omega Pack Factory is a UAE-based manufacturer of plastic packaging, operating since 1998 from facilities in Umm Al Quwain and Ajman","Alpha Omega Pack Factory is a UAE-based manufacturer of plastic packaging, operating since 1998 from facilities in Umm Al Quwain and Ajman. It produces plasticâ¦",,,,,,
Alpi UK,"B12 Logistics, Fulfilment & Services ALPI UK is part of the Albini & Pitigliani Group, an international freight-forwarding and logistics organisation with more than 80 years of experience, and is","ALPI UK is part of the Albini & Pitigliani Group, an international freight-forwarding and logistics organisation with more than 80 years of experience, and isâ¦",,,https://uk.alpiworld.com,,,
Avantade,"F2 Software, Data & Technology Avantade operates a digital B2B platform that transforms how consumer brands develop and source sustainable packaging",Avantade operates a digital B2B platform that transforms how consumer brands develop and source sustainable packaging. Its tools include a 3D packagingâ¦,,,https://avantade.com,,,
Avery Dennison,"E30 Coding, Labelling & Print Avery Dennison is a global materials science and digital identification solutions company that designs and manufactures a wide range of labeling, packaging and","Avery Dennison is a global materials science and digital identification solutions company that designs and manufactures a wide range of labeling, packaging andâ¦",,,https://averydennison.com,,,
Berlin Packaging | BlueSky,"B28 Containers, Closures & Rigid Packaging BlueSky Solutions, part of Berlin Packaging following its EMEA acquisition, is a rigid packaging specialist supplying bottles, jars, tubes, closures and","BlueSky Solutions, part of Berlin Packaging following its EMEA acquisition, is a rigid packaging specialist supplying bottles, jars, tubes, closures andâ¦",,,https://blueskysolutionsuk.com,,,
Beyondly,"F40 Sustainability, Compliance & Recycling Beyondly is a Certified B Corp environmental compliance scheme and sustainability consultancy based in Skipton, North Yorkshire, with over 20 years of","Beyondly is a Certified B Corp environmental compliance scheme and sustainability consultancy based in Skipton, North Yorkshire, with over 20 years ofâ¦",,,https://beyond.ly,,,
BPF,"E32 Associations, Research & Education The British Plastics Federation","The British Plastics Federation (BPF) is the UK's leading trade association for the plastics industry, founded in 1933 and representing over 80% of the UKâ¦",,,https://bpf.co.uk,,,
BRC Proms Ltd / Macmillan Cancer Support,"E14 Associations, Research & Education BRC Promotions is a UK-based face-to-face fundraising organisation, based in Stockport, that engages members of the public in residential areas and at venues","BRC Promotions is a UK-based face-to-face fundraising organisation, based in Stockport, that engages members of the public in residential areas and at venuesâ¦",,,https://brc-uk.com,,,
Brook Green Supply,"B22 Sustainability, Compliance & Recycling Brook Green Supply is a UK-based energy partner that helps large business energy users transact with confidence and transition to a decarbonised future",Brook Green Supply is a UK-based energy partner that helps large business energy users transact with confidence and transition to a decarbonised future. Itâ¦,,,https://brookgreensupply.com,,,
Brothersbox,"B14 Paper, Fibre & Corrugated Packaging Founded in 1997, Brothersbox is a Chinese manufacturer of custom paper gift boxes and premium rigid packaging, serving more than 1,000 brands worldwide","Founded in 1997, Brothersbox is a Chinese manufacturer of custom paper gift boxes and premium rigid packaging, serving more than 1,000 brands worldwide. Theâ¦",,,https://brothersbox.com,,,
Cam Tech Park,"A12 Software, Data & Technology Cam Tech Park is listed as an exhibitor for the show","Cam Tech Park is listed as an exhibitor for the show. Its website (cambridgetechpark.co.uk) could not be reached, and public records show only a recentlyâ¦",,,https://cambridgetechpark.co.uk,,,
Cap Coder,"D28 Machinery & Automation Cap Coder has designed and built filling, capping and coding machinery for production lines in the UK since 1976","Cap Coder has designed and built filling, capping and coding machinery for production lines in the UK since 1976. Its systems range from compact benchtopâ¦",,,https://capcoder.com,,,
Carrick Packaging,"A26 Paper, Fibre & Corrugated Packaging Carrick Packaging is a UK manufacturer of industrial packaging products, including steel drums, IATA cans, polycomposite and reconditioned drums, plastic","Carrick Packaging is a UK manufacturer of industrial packaging products, including steel drums, IATA cans, polycomposite and reconditioned drums, plasticâ¦",,,https://carrickpackaging.com,,,
Castle Industrial,"C30 Machinery & Automation Castle Industrial is a UK-based packaging and logistics solutions provider specialising in load stability optimisation, based in Carnforth, Lancashire, where","Castle Industrial is a UK-based packaging and logistics solutions provider specialising in load stability optimisation, based in Carnforth, Lancashire, whereâ¦",,,https://castleindustrial.com,,,
Cerrion,"E24 Software, Data & Technology Cerrion develops an AI-powered video monitoring platform for industrial manufacturing",Cerrion develops an AI-powered video monitoring platform for industrial manufacturing. Its system analyses camera feeds in real time to detect processâ¦,,,https://cerrion.com,,,
Chubby Gorilla,"E38 Containers, Closures & Rigid Packaging Chubby Gorilla was founded in Southern California to make distinctive, high-quality packaging products, including bottles, containers, pouch containers and","Chubby Gorilla was founded in Southern California to make distinctive, high-quality packaging products, including bottles, containers, pouch containers andâ¦",,,https://chubbygorilla.com,,,
Cloud ERP,"E8 Software, Data & Technology CloudERP is a UK-based specialist in Acumatica cloud enterprise resource planning software",CloudERP is a UK-based specialist in Acumatica cloud enterprise resource planning software. Its team brings more than two decades of implementation experienceâ¦,,,https://clouderp.co.uk,,,
Countrywide Freight,"D16 Logistics, Fulfilment & Services Countrywide Freight Group is a UK and Ireland logistics specialist, founded in 1976, providing parcel, pallet and groupage collection and delivery services","Countrywide Freight Group is a UK and Ireland logistics specialist, founded in 1976, providing parcel, pallet and groupage collection and delivery servicesâ¦",,,https://countrywide-freight.co.uk,,,
Cpack,"D4 Machinery & Automation CPack is a UK-based specialist manufacturer of packaging machine systems, including shrink wrapping, dairy and cheese wrapping, sandwich sealing and vacuum","CPack is a UK-based specialist manufacturer of packaging machine systems, including shrink wrapping, dairy and cheese wrapping, sandwich sealing and vacuumâ¦",,,https://cpackltd.com,,,
Cradloop,"E12 Sustainability, Compliance & Recycling Cradloop is a UK-based supplier of sustainable takeaway food packaging, its name fusing","Cradloop is a UK-based supplier of sustainable takeaway food packaging, its name fusing 'cradle-to-cradle' and 'closed loop' to reflect its mission to supportâ¦",,,https://cradloop.uk,,,
Deniz Plastik,"F4 Plastic, Flexible & Film Packaging Deniz Plastik is a Turkish manufacturer of plastic packaging products based in Adana, producing items including refuse sacks, drawstring bags, food bags","Deniz Plastik is a Turkish manufacturer of plastic packaging products based in Adana, producing items including refuse sacks, drawstring bags, food bagsâ¦",,,https://denizplastik.com.tr,,,
Discovery Flexibles,"D38 Plastic, Flexible & Film Packaging Discovery Flexibles is a manufacturer of flexible packaging based in Dundee, UK, bringing more than 70 years of industry experience to the sector","Discovery Flexibles is a manufacturer of flexible packaging based in Dundee, UK, bringing more than 70 years of industry experience to the sector. It producesâ¦",,,https://discoveryflexibles.com,,,
