company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
"ACE Co., Ltd.",C-06,"Next-Generation Facial Care for Radiant Skin & a Defined Contour｜Experience our signature facial treatment combining Plasma Hand Therapy with a specialized glove, Terahertz Kassa, and EMS Facial Care. This unique combination targets both radiant, healthy-looking skin and a more defined facial contou Straightforward. Sincere. Building a trusted future for the beauty industry.<br/>Ace Co., Ltd. is a comprehensive beauty solutions company that supports salon businesses through the sales of professional beauty equipment and products, as well as marketing and promotional support.<br/>At this exhibition, we are showcasing PLASMASTAR, a next-generation facial treatment system that combines three advanced technologies: Plasma, EMS, and Terahertz Gua Sha. This innovative device delivers a wide range of treatments—including pore care, skin rejuvenation, lifting, and anti-aging—in a single system. By enhancing the effectiveness of skincare products, PLASMASTAR helps improve customer satisfaction and encourages repeat business.<br/>Beyond installation, Ace provides comprehensive after-sales support, including technical training and marketing assistance, helping salons maximize their business growth and long-term success.",,,https://ace-ssc.com,"Bell Commons 7F & 9F, 2-5-8 Hakata Ekimae, Hakata-ku, Fukuoka 812-0011, Japan",Fukuoka,
"AIVIVID Co., Ltd.",C-03,"We engage in the planning, manufacturing, and sales of products primarily in the beauty and health sectors.<br/><br/>【OEM/ODM Contract Services】<br/>We provide comprehensive services—from planning and contract manufacturing to after-sales support—for products such as beauty devices (for both home and professional use), cosmetics, and health foods.",,,https://aivivid.co.jp,"Honcho 1-8-14 2F , Koganei-shi Tokyo, JAPAN ZIP：184-0004",,
"ART LAB. CO.,LTD.",FG-05,"Born in 2021 from the passion of Sicilian designer and founder Salvo Scarpaci, this Eau de Parfum collection celebrates the rich spirit of Sicily. Bearing a name that means “Sicily” in Greek, the brand embraces the romantic vision of recounting the island’s myths and legends through the language of Established in 1991.<br/> Our company concept and slogan is:<br/> “Fragrance is Visible”<br/><br/>Our business activities include the planning, manufacturing, and wholesale distribution of fragrance products and lifestyle goods; the operation of company-owned fragrance shops; and the planning and management of fragrance seminars and educational academy programs.<br/><br/>Guided by our motto, “Every smile and moment of delight from our customers is proof of our work and our greatest reward,” we are also actively accepting OEM projects and custom manufacturing partnerships.",,,,"8-6 Takehana Dōnomae-cho, Yamashina-ku, Kyoto-shi, Kyoto, Japan",,
"Assurise, Inc.",I-02,"Discover Celltrion Skincure’s derma brand, zipiderm. Highlighting Zipiderm EX V-STRA, launching in Korea this October and planned for Japan by ASSURISE. We will also present selected Professional and Pharmaceutical Care products under consideration for Japan. ASSURISEは、美容医療・自由診療において韓国および海外メーカーが取り扱う医療関連製品、コスメの日本市場へ導入・販売支援を行う会社です<br/><br/>ASSURISEは、美容医療・自由診療領域において、国内外の製品・技術を選定し、医療関連製品、コスメ等を日本市場への導入・販売支援を行うセレクションカンパニーです。<br/><br/>「Confidence in Life.」を掲げ、美容医療・自由診療に新しい価値と信頼を築くことをコンセプトにしています。<br/>",,,,"Kanda Miyuki Building 8F 1-5-1 Kanda Ogawamachi, Chiyoda-ku Tokyo 101-0052, Japan",Chiyoda-ku Tokyo,
Astaxin,PNB-06,"AstaReal, the company behind the Astaxin brand, began cultivating natural astaxanthin derived from microalgae at its own facility in the suburbs of Stockholm in 1995. That same year, the company developed the world’s first dietary supplement formulated with astaxanthin. Since then, as a pioneer in astaxanthin research, AstaReal has continued to create scientifically grounded products—ranging from astaxanthin raw materials to solutions designed for preventive healthcare.<br/><br/>Astaxin is an ethical beauty brand born in Sweden, where environmentally conscious lifestyles are simply a part of everyday life. The skincare line combines the vitality of plants that thrive in the harsh natural environments of the Nordic region with AstaReal’s high‑quality astaxanthin, backed by decades of research. The brand values not only the science that supports healthy skin, but also the processes, ingredients, and all people and environments involved—ensuring that everything is sustainable for both users and the planet.",,,https://astaxin.jp,"8th Floor, Shiba Park Ridge Building 1-8-21 Shibakoen, Minato-ku Tokyo 105-0011 Japan",Minato-ku Tokyo,
AWABI KAREN,PNB-01,,,,,,,
"AXIS Co., Ltd.",G-11,"Experience next-gen beauty! Unveiling our hit MAKE 4D series: the original slimming gel, salon-exclusive fat-burning EX, and contouring FACE cream. Meet BODY MAKE 4D BRAIN: an industry-first wearable device combining Ultrasound, EMS, RF & LED. Feel their amazing synergy at our booth! Since its establishment, AXIS Co., Ltd. has been engaged in in-house product planning and development, including cosmetics wholesaling and private brand supplements.<br/>As a manufacturer and dealer of cosmetics and health foods, including our original product “Body Make 4D,” we support people's health through beauty.<br/><br/>We offer our customers product planning proposals and support based on our knowledge of cosmetics products, knowledge of the skin, management of directly managed salons, and know-how cultivated through our relationships with salons across the country.<br/><br/>We believe that the “beauty” of a person is a healthy mind and body. Based on the concept of “Sanpo-Bi®” (beauty of the outside, beauty of the inside, and beauty of the mind), we always pursue and create “the real thing” and provide safe and secure products that satisfy our customers.<br/>We also handle a number of OEM products, and we will provide better products that meet the needs of our customers by utilizing the know-how we have cultivated.",,,,"2-238 Irie, Kanazawa, Ishikawa, Japan",,
AXXZIA INC.,F-08,"Asian beauty from Japan to the world"".<br/>A skincare brand represent our company AXXZIA, consists of three series, Beauty Eyes for eye care, Beauty Force for face care, and Beauty Body for body care,<br/>offers a wide range of products to meet the diverse of consumer needs.<br/>Beauty Eyes - provide an intensive skin care around eyes with three products, eye serum, eye sheet and eye cream, for your attractive impression.<br/>Beauty Force - offers a full lineup of skin care and makeup with carefully selected ingredients to fulfill supple, radiant and moisture and luster etc. for your skin care needs.",,,https://axxzia.co.jp,"Shinjuku Sumitomo Building 35F, 2-6-1 Nishi-Shinjuku, Shinjuku-ku, Tokyo, 163-0235 Japan",,
"BAB JAPAN Co., Ltd.",A-21,"BAB JAPAN focuses on publishing specialized magazines, books and DVDs dedicated to the promotion of therapy and beauty for everyone from beginners to professionals. Our area of specialty includes the sales promotion aimed at managerial staff of salon using our comprehensive range of services such as magazines, Internet and seminars/workshops.",,,https://bab.co.jp,Nakamura Bldg.30-11 Sasazuka 1-Chome Shibuya-ku Tokyo Japan,,
BARRELS. LLC,G-09,,,,,,,
bh Corporation,E-08,"Here is your chance to experience the much-talked-about ""TEPORA""! At our booth, you can try it out firsthand to experience its comfort, as well as its carefully designed effects and features. We warmly welcome anyone interested in giving it a try—please feel free to stop by and discover the appeal o For those with a high awareness of beauty and wellness.<br/>For those who cherish a lifestyle true to themselves, rooted in individuality and personal intention.<br/>With a universal perspective and unique ideas, we deliver unprecedented solutions for achieving beauty and wellness.<br/><br/>Leveraging our cultivated experience in the beauty sector, we provide high-value-added products and unique services, while supporting all activities aimed at enhancing brand value.",,,,"805-3 Iwazomachi, Utsunomiya, Tochigi, Japan",,
"BIOBANK CO., LTD.",D-12,"Our flagship capsule products, ""OM-X 12Plus"" and ""OM-X Deluxe5"", contain all three biotics - probiotics, prebiotics, and postbiotics - making them comprehensive THREE BIOTICS™ Supplements that support a healthy intestinal environment. Main Business ・Manufacturing, sales, import and export of fermented amino acid foods and microbes required for crop production ・Research, study and consultancy on utilization of microbes ・Sales, import and export of health foods and drinks ・Manufacturing, sales, import and export of products containing lactic acid bacteria, yeast, microbes and dietary fibers ・Manufacturing, sales, import and export of cosmetics, pharmaceuticals, quasi-drugs, and cosmetic tools",,,,"388-1 Hirata, Kita-ku, Okayama-shi, Okayama 700-0952, JAPAN",Okayama,
