company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
A CASA DO PORTUGAL,2 / HALL 2 2E26,,rdimport@orange.fr,+33388922282,https://acasadoportugal.metro.rest,,,
AAT SAINT-LOUIS 3 PAYS,1 / HALL 1 1B6,,contact@iris-interactive.fr,19 09 20 09,https://saintlouis-tourisme.fr,"18 Av. Général de Gaulle, 68300, Saint-Louis, FR",,
AEROPORT DE STRASBOURG,2 / HALL 2 2B2,,information@strasbourg.aeroport.fr,,https://strasbourg.aeroport.fr,,,
ALBERT SCHWEITZER,4 / HALL 4 4A7,,president@afaas-schweitzer.org,,https://afaas-schweitzer.org,,,
ALLIANCE PORNIC HOTEL THALASSO & SPA,3 / HALL 3 3F19,,info.resa@thalassopornic.com,02 40 82 21 21,https://thalassopornic.com,,,
ALLIBERT TREKKING,2 / HALL 2 2D30,,,,https://allibert-trekking.com,,,
ALOES TRAVEL TOURS,4 / HALL 4 4C8,,info@botschaft-madagaskar.de,+49 (0)3322 - 2314-0,https://botschaft-madagaskar.de,,,
ALSACE / VOSGES -TRACES D'HISTOIRE,1 / HALL 1 1D3,,info@adt.alsace,60337 68006,https://visit.alsace,,,
ALSACE PLAISANCE,1 / HALL 1 1B6,,info@adt.alsace,60337 68006,https://visit.alsace,,,
ALSACE À VÉLO,3 / HALL 3 3E17,,info@adt.alsace,60337 68006,https://alsaceavelo.fr,,,
ALTAI AVENTURE SARL,4 / HALL 4 4B15,,contact@mongolie-aventure.com,448381822,https://mongolie-aventure.com,,,
AMAROK L'ESPRIT NATURE,2 / HALL 2 2D12,,info@amarok-espritnature.com,+33695608629,https://amarok-espritnature.com,,,
ANNEAU DU RHIN SA,3 / HALL 3 3E21,,stages@anneau-du-rhin.com,2026 08/03,https://anneau-du-rhin.com,,,
ARTE PACHAMAMA,4 / HALL 4 4E18,,,,https://etsy.com,,,
ARTISANS MONGOLS,4 / HALL 4 4C15,,,0603950545,https://artisansmongols.fr,,,
AS TRAVEL SOLUTIONS,4 / HALL 4 4C16,,contact@astravel.fr,+33617575189,https://astravel.fr,,,
ASSOCIATION AUTOCARS ANCIENS DE FRANCE,2 / HALL 2,,contact@nord-alsace-evasion.fr,06 17 78 20 33,https://autocarsanciensdefrance.fr,,,
ASSOCIATION BRETZ'ELLES DES SABLES,4 / HALL 4 4C16,,contact@astravel.fr,+33617575189,https://astravel.fr,,,
ASSOCIATION FRANCO MALGACHE ZO FIARO,4 / HALL 4 4A15,,,,https://zofiaro.com,,,
ATALANTE,2 / HALL 2 2D11,,rgpd@altai-groupe.com,+33481685560,https://atalante.fr,,,
AVENTURE MEKOOS CANADA,2 / HALL 2 2C10,,,0805080224,https://motoneiges.com,,,
AVEYRON GROUPES,3 / HALL 3 3B9,,groupes@soleilevasion.fr,,https://soleil-evasion.fr,,,
AZ RECEPTIONS,2 / HALL 2 2A1,,contact@azreceptions.com,+33389210636,https://azreceptions.com,,,
BAD KROZINGEN - THERMES VITA CLASSICA,3 / HALL 3 3E6,,mail@bad-krozingen.info,+49 7633 4008-163,https://vita-classica.de,,,
BADE-WURTTEMBERG,3 / HALL 3 3D21,,info@tourismus-bw.de,49711238580,https://visit-bw.com,,,
BATANI SELECT HOTELS & TRAVEL,2 / HALL 2 2A11,,info@selecthotels.it,+39 0544 977071,https://selecthotels.it,,,
BELLARIA IGEA MARINA SERVIZI SRL,"2 / HALL 2 A200, HALL 2, HALL 2 A200, HALL 2",,info@bellariaigeamarina.org,0541.346808,https://bellariaigeamarina.org,,,
BIKOACH,1 / HALL 1 1B6,,,18.09.2026,https://diehl.com,,,
BLACKSHEEP VAN,3 / HALL 3 3D1,,,,https://blacksheep-van.com,,,
BOL D'AIR,3 / HALL 3 3E9,,parapente@bol-d-air.fr,10 30-110,https://bol-d-air.fr,,,
BRASSERIE UBERACH,1 / HALL 1 1A5,,,+33389233536,https://aubrindepaille.fr,,,
BRESSE BOURGUIGNONNE,3 / HALL 3 3A16,,,,https://bresse-bourguignonne.com,,,
BRETZELS BOEHLI,1 / HALL 1 1A5,,info@adt.alsace,60337 68006,https://visit.alsace,,,
BUREAU MONTAGNE HAUTES-VOSGES,2 / HALL 2 2E16,,,0685071306,https://bmhv.com,,,
CALUMMA TRAVEL MADAGASCAR SARLU,4 / HALL 4 4C8,,contact@calummatravel-madagascar.com,+261%2034%2069%20513%2030,https://calummatravel-madagascar.com,,,
CAP ARDECHE,3 / HALL 3 3A6,,,,https://au-gai-logis.com,,,
CAP FRANCE - LE DUCHET,3 / HALL 3 3D18,,,+33384604126,https://le-duchet.com,,,
"CAP MAURIANNA, L'HÉBERGEMENT AU GRAND AIR",3 / HALL 3 3D18,,,,,,,
CAPFRANCE TERROU / RELAIS MOULIN NEUF / CAP ARDEC,3 / HALL 3 3A6,,,,https://capfrance-terrou.fr,,,
CARAVANTOURS TOUR OPERATOR,2 / HALL 2 A11,,caravantours@pec.it,,https://caravantours.it,,,
CARTE A VOYAGER,2 / HALL 2 2A2,,,,https://carte-a-voyager.com,,,
CASA LORCA LES EMPANADAS,4 / HALL 4 4E13,,,,,,,
CDHV-CONFISERIE DES HAUTES VOSGES,3 / HALL 3 3A5,,commande@cdhv.fr,03 29 50 44 56,https://cdhv.fr,,,
CEINTURE BOA,1 / HALL 1 1B12,,,,https://ceinturerboa.com,,,
CENTRAL VAN,3 / HALL 3 3B22,,,03 89 52 26 62,https://centralvan68.fr,,,
CESENATICO CAMPING VILLAGE & PINETA SUL MARE,2 / HALL 2 2A11,,,,https://cesenaticocampingvillage.com,,,
CHAPO'T,2 / HALL 2 2E30,,,,https://ebay.com,,,
CHATEAU DE CHENONCEAU,3 / HALL 3 3D7,,info@chenonceau.com,0247239007,https://chenonceau.com,,,
CHENEAUDIERE - HÔTEL SPA 5* - RELAIS & CHÂTEAUX,1 / HALL 1 1D2,,info@cheneaudiere.com,+33 3 88 97 61 64,https://cheneaudiere.com,,,
CHYPRE (OT)/ MINISTERE DELEGUE AU TOURISME DE CHYP,2 / HALL 2 2E20,,,,https://visitcyprus.com,,,
CHÂTEAU DE LA BOURDAISIÈRE,3 / HALL 3 3D7,,contact@labourdaisiere.com,+33(0)2 47 45 16 31,https://labourdaisiere.com,,,
CHÂTEAU DU HAUT-KOENIGSBOURG,1 / HALL 1 1B4,,,+33369332500,https://haut-koenigsbourg.fr,"Route du Château, 67600, Orschwiller, Grand Est, FR",,
CIMALP,3 / HALL 3 3C16,,,,https://cimalp.fr,"Le Refuge CIMALP, 26320, St Marcel les valence, {'@type': 'Country', 'name': 'FR'}",,
CLÉVACANCES JURA FRANCHE-COMTÉ,3 / HALL 3 3D18,,,2024 - 2028,https://cdt-jura.fr,,,
COEUR DU VAR TOURISME,3 / HALL 3 3B8,,,22/09/2026,https://coeurduvartourisme.com,,,
COMMUNAUTÉ DE COMMUNES ST-AMARIN - OFFICE DE TOURISME,3 / HALL 3 3D15,,,,,,,
COMPAGNIE DES SENTIERS MARITIMES,2 / HALL 2 2E21,,,02 99 78 83 70,https://sentiersmaritimes.com,,,
CONTINENTAL TERME HOTEL,2 / HALL 2 2D16,,info@continentaltermehotel.it,(+39)%20049%20793522,https://continentaltermehotel.it,,,
COULEURS RAPHIA,4 / HALL 4 4A16,,couleursraphiacontact@gmail.com,06 37 64 34 34,https://couleurs-raphia.fr,,,
CRE'ART'SOA,4 / HALL 4 4B8,,,,https://creartsoa.mg,,,
CREDANIAH TOGO,4 / HALL 4 4A10,,,,https://credaniah.com,,,
CREPES SUCREES/BOISSONS,3 / HALL 3 3A20,,,,,,,
CT STONES,4 / HALL 4 4C8,,,,https://etsy.com,,,
CZECHTOURISM,4 / HALL 4 4E7,,,14 2026 6,https://visitczechia.com,,,
DESTINATION BOURGOGNE,3 / HALL 3 3B19,,,,https://destinationbourgogne.com,,,
DESTINATION CÔTE D'OPALE,3 / HALL 3 3C19,,,,https://destinationcotedopale.com,,,
DESTINATION VOSGES PORTES D'ALSACE,3 / HALL 3 3G15,,nom@example.org,0329422222,https://vosges-portes-alsace.fr,,,
DIAHNAY TOURS,4 / HALL 4 4C8,,,999999999,https://diahnaytours.com,,,
DIAVOLANA BIJOUX,4 / HALL 4 4C8,,,,,,,
DISTILLERIE LEHMANN,1 / HALL 1 1C2,,info@adt.alsace,60337 68006,https://visit.alsace,,,
DISTRICT AUTONOME DU SASSANDRA MARAHOUE,4 / HALL 4 4A18,,info@aip.ci,2026 1 2 3,https://aip.ci,,,
DISTRICT NYARUGURU 2025,4 / HALL 4 4A4,,,,,,,
DNA / L'ALSACE,1 / HALL 1 1B14,,dnarelationclients@dna.fr,21/09/2026,https://dna.fr,,,
DOMAINE BLEGER BY WINDMUEHL,3 / HALL 3 3C12,,vins.bleger.claude@orange.fr,03 89 73 00 21,https://vins-bleger.com,,,
