company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Albion Timber,,"Albion Timber is a hardwood timber merchants based in Sheffield, Yorkshire. We specialise in native species and stock a large variety of sawn boards for furniture and joinery use. We also have a retail shop onsite stocked full of interesting species, all kiln dried and planed ready for use. We sell all sizes of boards, as well as turning and carving blanks. We also supply oil finishes including Rubio Monocoat, and stock a range of hardware including shelf brackets and metal table legs. We're open to the public 6 days a week, Monday - Friday 8am-5pm and Saturday 9am-1pm.",info@albiontimber.co.uk,07580 627921,https://albiontimber.co.uk,,,
Ashley Iles (Edge Tools) Ltd,,• Woodcarving & turning tools • Chisels,,,https://ashleyiles.co.uk,,,
Association of Woodturners of Great Britain,,,,,https://channelislandswoodturners.org,,,
Axminster Tools,,,,,https://axminstertools.com,,,
Blanks & Planks,,English Hard Woods . Locally and Sustainably Sourced . Cut By Us . Air Dried,enquiries@blanksplanks.com,01677 470481,https://blanksplanks.com,,,
British Hardwoods,,• Osmo Hardwax Oil • Hardwoods,,,https://britishhardwoods.co.uk,,,
Charnwood Machinery,,"Charnwood has supplied woodworking machinery and tooling – suitable for everyone from hobby enthusiasts, to professional trade users.",sales@charnwood.net,01530 516 926,https://charnwood.net,,,
Chestnut Products,,"With over 30 years' experience, Chestnut Products are the go-to for information, support, and the products to give your woodworking the finish it deserves. We cater for pretty much all woodworking disciplines, and will always be able to offer advice on the best finish, or options, for whatever you are making. Come and see us for informed help and advice.",,01473 890118,https://chestnutproducts.co.uk,,,
Chris Milner Supplies,,Mail-order supplies of clock components and general woodworking materials.,,01246 590062,,,,
Classic Hand Tools,,"Classic Hand Tools have been selling fine woodworking hand tools, books and accessories to enthusiasts and professionals since 2003. We offer the finest quality hand tools including Lie-Nielsen Toolworks, Veritas, Kutzall, Pfeil, Lost Art Press books, Mortise & Tenon magazine, Blue Spruce Toolworks, Auriou, Knew Concepts, Gyokucho & Nakaya Japanese Saws, Woodpeckers, sharpening stones and so much more. All of these brands will be available at the North of England Woodworking Show and in many cases will have someone demonstrating them and answering your questions.",,01473 784983,https://classichandtools.com,,,
Dogs Trust,,,,,,,,
Extractly,,,,,https://extractly.co.uk,,,
G Sharp Tools,,"As a cabinet maker, I need sharp chisels if I’m going to complete a job satisfactorily and safely. Anyone who works with tools knows, they can easily become blunted through use or accidents. Sharpening them can be a time-consuming and frustrating business and, all too often, the equipment available for the job is either heavy, inflexible or cumbersome or takes an age to set up.",,+447917130625,https://gsharptools.com,,,
Gloforce Ltd,,,,,,,,
Golra Edge Tools,,,,,,,,
Greenvill Crafts,,• Axminster Tools & Machinery • Axminister Turning Accessories • Laguna Lathes • Bandsaws & Extractors • Flexcut Carving Tools • Chestnut Finishing Products • Robert Sorby Woodturning Tools • Robert Sorby Carving Tools • Peter Child Pyrography • MANPA Power Carving Tools • Pro-Edge • Pegas Scroll Saw Blades • Proxxon • Rikon • Kreg • Wood & Acrylic Pen Blanks • Hardwood Bowl & Spindle Turning Blanks • Pen Kits & Project Turning Kits • Titebond,,,https://greenvill.co.uk,,,
JC Safety,,"JC Safety is an exciting, new business venture between brother-and-sister duo, James and Emma Cook. JC Safety was founded with one goal in mind: providing high quality Health & Safety equipment to customers for a fair price.",accounts@jc-safety.co.uk,07709 610089,https://jc-safety.co.uk,,,
Jeremy Broun,,,,,https://jeremybroun.co.uk,,,
Jorvik Woodturners Club,,,,,,,,
JR Carruthers,,,,,,,,
Lanosus Baltic,,"High quality CNC machines for precision milling and woodworking. It is characterized by durability, accuracy and reliability. Compatible with various CAD/CAM programs, ensuring flexible work.",,,,,,
Marbling 4 Fun,,,,10/09/2026,https://marbling4fun.net,,,
Mirka UK,,,,,https://mirka.com,,,
National Association of Shoplifters and Institute of Carpenters,,,,,,,,
NMA Agencies,,,,,,,,
North Yorkshire Woodworkers Club Thirsk,,,,,,,,
Northern School of Woodwork,,,,,https://northernschoolofwoodwork.co.uk,,,
NuCo Tools,,,,,https://nucotools.com,,,
Odies Oils,,Odysseus Cornwall’s Outstanding Oils and Waxes,info@odiesoil.co.uk,+44 (0)7986 644 851,https://odiesoil.co.uk,,,
Power Bond,,,,,,,,
Prostate Cancer UK,,,,,https://prostatecanceruk.org,,,
Puntons Footwear,,,,,,,,
PYTHA Lab,,3d CAD,,,,,,
RDC Hardwood Planks,,• Hardwood Blanks • Hardwood Off-cuts,,,,,,
Record Power,,Fri 13th & Sat 14th November 2026 - 10:00am - 5:00pm Sun 15th November 2026 - 10:00am - 3:30pm,,,https://recordpower.co.uk,,,
Robert Sorby,,,,,https://robert-sorby.co.uk,,,
Rollins & Sons,,,,,,,,
Rowland Tools,,Orders Placed before 1pm next Day Delivery,sales@rowland-tools.co.uk,+44 01494 534755,https://rowland-tools.co.uk,,,
Rustins Ltd,,,,020 8450 4666,https://rustins.ltd,,,
SawStop,,Our revolutionary AIM safety system reduces what could be a potentially life-changing injury into a scratch by stopping the spinning blade on contact with skin.,,+44 2039364931,https://sawstop.eu,,,
Shenton Woodcraft,,"Design, manufacture, and sales of the Patent pending repeat edge sharpening system for woodworking and wood turning chisels and gouges. This sharpening jig makes repeat sharpening very quick and accurate repeating the previous bevel every time.",shentonwoodcraft@gmail.com,07718 523152,https://shentonwoodcraft.co.uk,,,
Suffolk Wood Veneers,,,,,,,,
Suizan - TMC World Network,,"TMC WORLDNETWORK LTD serves as the UK sales representative for the prestigious SUIZAN brand, while Cocolable Inc. is the Japanese manufacturer that masterfully combines traditional Japanese craftsmanship with modern precision. SUIZAN represents the finest heritage of Japanese tool-making, where centuries-old techniques meet contemporary innovation.",,,https://suizan.net,,,
The Craft light Company,,,howard@craftlights.co.uk,01502 587598,https://craftlights.co.uk,,,
The Durham Leatherworker Ltd,,,,,,,,
The Leeds Marquetry Group,,,secretary.leedsmarquetry@gmail.com,1953 2026 167,https://leedsmarquetry.org,,,
The Old Tool Store,,"Sister company of Ray Iles Edge Tools, selling a wide range of high quality new and used woodworking hand tools, including an extensive selection of recondition carving tools, turning tools, reground bench planes, shoulder planes, combination planes, routers, replacement plane irons and green woodworking tools.",,01507 525 696,https://oldtoolstore.co.uk,,,
The Rocking Horse Shop,,• Plans • Timber Kits • Tools & Accessories,,,https://rockinghorse.co.uk,,,
The Tiny Turner,,Team Tiny has been re-started with a view of providing subscribers with a much more exciting programme. Click the icon to learn more!,info@thetinyturner.co.uk,2026 - 10.00,https://thetinyturner.co.uk,,,
Tomaco,,,,,https://tomaco.co.uk,,,
Trend Tool Technology,,,,,https://trend-usa.com,,,
TTS Europe SE,,,,,,,,
UK Men's Sheds Association,,,,,https://menssheds.org.uk,,,
West Riding Woodcarver's Association,,,,,https://wrwoodcarvers.com,,,
West Riding Woodturning Group,,,,,,,,
Wood Workers Workshop,,• Milescraft • JessEm • INCRA • Woodpeckers • Bow Products • iGaging • Melbourne Tool Company • StopLossBags • Carbon Method • FastCap • AUKTools • Verum,,,https://woodworkersworkshop.co.uk,,,
Woodart Products,,,,,https://woodart-products.co.uk,,,
Woodcarvers UK,,Description goes here,,,,,,
Woodworking Tools,,,,,,,,
WP Hardwood,,,,,,,,
