company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
Acceptio,,,,,https://acceptio.se,,,
Akademikerförbundet SSR,,,radgivning@akademssr.se,086174400,,,,
Akademikerförsäkring,,,,30120 104 25,https://akademikerforsakring.se,,,
Axel Group,,,info@axel.se,0106023030,,,,
Balansgruppen,,,,,,,,
"Barnafrid-Nationellt kunskapscentrum, Linköpings Universitet",,,infocenter@liu.se,+4613281000,,,,
BelongAlways,,,admin@belongalways.com,+46 76 870 00 36,https://belongalways.com,,,
Blomdalen skyddat boende,,,placering@blomdalenhem.se,,https://blomdalenhem.se,,,
"BOF, Barn & Familjejouren",,,kontoret@barnochfamiljejouren.se,2026-04-21,https://barnochfamiljejouren.se,,,
Brief Strategic Family Therapy® (BSFT),,,,,,,,
Brottsförebyggande rådet (Brå),,,registrator@bra.se,08-52758400,,,,
Brottsofferjouren,,,fraga@boj.se,815600-8784,https://brottsofferjouren.se,,,
Brottsoffermyndigheten,,,,090–708200,https://brottsoffermyndigheten.se,,,
Brukarkraft,,,brukarkraft@verdandi.se,070-090 09 44,https://brukarkraft.se,,,
Carebuilder,,,valentina@carebuilder.se,+46737056723,,,,
Center mot våldsbejakande extremism (CVE),,,info@cve.se,08-52744200,https://cve.se,,,
CKU,,,,,,,,
ECPAT,,,info@ecpat.se,+46859892000,https://ecpat.se,,,
Ersta Diakoni Skyddat boende,,,,,https://erstadiakoni.se,,,
Everyday Institute,,,martin.lackeus@everydayinstitute.se,+46 736 551818,https://everydayinstitute.se,,,
Frisk & Fri – Riksföreningen mot ätstörningar,,,service@friskfri.se,802012-8925,https://friskfri.se,,,
Frälsningsarmén-Skogsbo,,,info@fralsningsarmen.se,+46856228200,https://fralsningsarmen.se,"Nybrogatan 79 B, 114 41, Stockholm, SE",,
"FYS, forskarskolan för yrkesverksamma i socialtjänsten",,,,,https://forskarskolanfys.se,,,
Förenade familjehem,,,info@forenadefamiljehem.se,+46702798026,https://forenadefamiljehem.se,,,
Glöm Aldrig Pela och Fadime – Riksorganisationen GAPF,,,stodjour@gapf.se,0700009328,https://gapf.se,,,
Healsafe Interiör,,,info@healsafeinterior.com,+46706785400,https://healsafeinterior.com,,,
Hemlikt – Skyddat Boende,,,skydd@hemlikt.se,0767990001,https://hemlikt.se,,,
Hemstaden,,,info@hemstadenab.se,0102045075,https://hemstadenab.se,,,
"Humana – Alla har rätt till ett bra liv. Ja, alla.",,,info@humana.se,08-59929900,https://humana.se,,,
Högskolan SAPU,,,info@sapu.se,63 116 38,https://sapu.se,,,
Ing-Marie Wieselgrens Stiftelse – Tillsammans för psykisk hälsa,,,info@stiftelsenimwieselgren.se,50 113 52,https://stiftelsenimwieselgren.se,,,
Initium skyddat Boende,,,info@initiumskyddatboende.se,073 326 37 98,https://initiumskyddatboende.se,,,
Insatskartan,,,,,https://insatskartan.se,,,
