company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
36 HEURES iMMO,E68,,,,,,,
Académia,SD03,"Organisme de formation et de coaching dédié aux dirigeants et aux agents immobiliers. Académia accompagne les professionnels du secteur dans le développement de leurs compétences, de leur performance et de leur leadership.",,,https://academia-coaching.fr,,,
ADAPT IMMO,G20,,,,,,,
ADHOC Gestion,,,,,,,,
Adlead,H76,,,,,,,
ADN Realty,H78,,,,,,,
Agence MARKUS,H40,,,,,,,
AGENCEPLUS,C37,,,,,,,
AGENCES REUNIES,C65,"Agences Réunies a été créé en 1998 par des professionnels du secteur dans le but de générer du chiffre d’affaires supplémentaire avec l’intercabinet. Historiquement leader sur le Grand Paris, nous avons renforcé notre présence sur plusieurs régions de France en devenant ainsi un groupement national à forte notoriété. Ce modèle permet d ́offrir à nos clients une visibilité accrue dans le positionnement de leurs biens, relayés dans chaque agence membre et de mieux répondre à la recherche de biens de nos clients. Nous mettons à votre disposition de nombreux outils pour améliorer votre performance commerciale. La force de notre réseau nous permet d’obtenir des conditions fournisseurs plus avantageuses pour nos besoins métiers. Notre objectif est de garantir à nos clients vendeurs, acquéreurs, bailleurs, un service de qualité, dans le respect de notre éthique, mais également, en considération des engagements environnementaux, travailler à la digitalisation des agences, permettant ainsi la baisse de l’empreinte carbone de nos activités !",contact@agences-reunies.com,+33142292934,https://agences-reunies.com,,,
AIRNEST,D71,,,,,,,
ALEX,J70,"ALEX Qualitel - Evaluation de l'état d'un logement avant achat Que vous soyez agent immobilier, mandataire ou notaire, ALEX Qualitel vous permet de proposer à vos clients l’intervention d’un expert immobilier indépendant avant leur achat. En intégrant ALEX Qualitel dans votre parcours clients, vous renforcez la transparence des échanges, facilitez la prise de décision et valorisez votre accompagnement.",alex.contact@qualitel.org,0142347095,https://alex.qualitel.org,,,
ALLIANCE ADB,C62,,,,,,,
Amanda,F73,"Amanda, le partage de mandats exclusifs qui multiplie les opportunités. Amanda est une association dédiée aux professionnels de l’immobilier, qui facilite la collaboration et le partage de mandats exclusifs entre confrères. Grâce à une communauté de professionnels engagés, Amanda permet de développer les opportunités de vente, d’élargir son offre de biens et de mieux répondre aux attentes des clients, tout en conservant son indépendance. Avec Amanda, on partage les mandats, les opportunités… et les réussites !",contact@amanda.immo,+33139456060,https://amanda.immo,,,
APIHOM,SN04,"Apihom édite le premier outil en ligne de DPE projeté en France, avec un moteur de calcul testé par le CSTB et inscrit au registre officiel des logiciels validés par le ministère. En trois clics, agences, gestionnaires, courtiers, et tout professionnel du bâtiment, vous obtenez le gain de classe énergétique atteignable et le bouquet de travaux optimisé : la combinaison qui atteint le meilleur gain au meilleur coût. Passez sur le stand pour une démonstration.",info@apihom.com,0974779779,https://apihom.com,,,
Apimo,G14 - G15,,,,,,,
Aprilyos,JK76,"Conçu par un marchand de biens, Aprilyos est la 1ère suite de logiciels métiers tout-en-un dédiée aux pros de l'immobilier. Marchands de biens, promoteurs, lotisseurs, investisseurs : chaque solution a été pensée par quelqu'un qui vit le métier, pour répondre aux vrais problèmes du terrain.",commercial@aprilyos.com,2 150 000,https://aprilyos.com,,,
AQQI,F90,,,,,,,
